Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Nitric Oxide Mediated Signal Transduction (GO:0007263),-0.7547026505521199,-1.743573551658086,0.03571428571428571,0.266356479952845,0.98,3/17,4.32%,NOS3;FPR1;KLRG1
prerank,Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),-0.7760560291195582,-1.7431706931580575,0.0,0.2591921645133677,0.98,2/16,0.24%,KDR;VEGFA
prerank,Regulation Of Kinase Activity (GO:0043549),-0.5810766128520561,-1.737726580876351,0.0,0.26509797676162417,0.98,14/76,9.51%,KDR;FLT1;ROR2;LDB2;INSRR;DDR2;FLT4;LTK;MST1R;CSF1R;MAPT;PLCE1;IRS2;RET
prerank,Actin Filament-Based Transport (GO:0099515),0.662058107663999,1.7323299805904475,0.0,0.8636076259338743,0.98,10/19,17.81%,MYO1C;MYO1E;MYO5C;MYO7A;MYO5B;FNBP1L;MYO1A;MYO7B;MYO15A;SYNE2
prerank,Water Transport (GO:0006833),-0.7274260330274545,-1.731517896280808,0.037037037037037035,0.2760987962760204,0.99,3/15,4.66%,SLC5A1;CFTR;AQP8
prerank,Positive Regulation Of Chemotaxis (GO:0050921),-0.6073362348045965,-1.7307612397724743,0.0,0.2699139183123815,0.99,7/41,3.47%,KDR;VEGFA;THBS1;EDN2;EDN3;XCL1;CDH13
prerank,Vesicle Transport Along Actin Filament (GO:0030050),0.6763292266916425,1.7286223451390927,0.0,0.7517297263604064,0.98,9/17,15.92%,MYO1C;MYO1E;MYO5C;MYO7A;MYO5B;FNBP1L;MYO1A;MYO7B;MYO15A
prerank,Ribosomal Small Subunit Assembly (GO:0000028),-0.7579038530810125,-1.7204493145819422,0.02127659574468085,0.28738627017705337,0.99,1/16,0.08%,RPS27L
prerank,Pulmonary Valve Development (GO:0003177),-0.7067524070578247,-1.718579506274363,0.0,0.28152618322427014,0.99,3/20,1.87%,NOS3;TGFB2;SMAD6
prerank,Male Meiosis I (GO:0007141),-0.7395968357160693,-1.7102641030692294,0.04838709677419355,0.298848108554875,0.99,10/15,20.77%,MEIOC;MYBL1;SYCP3;HSF2BP;FOXJ3;ZSCAN21;MOV10L1;DDX4;ING2;TDRD9
prerank,Positive Regulation Of Epithelial Cell Differentiation (GO:0030858),0.6551212999007483,1.7091204083273068,0.0,0.774856349072073,0.99,7/18,12.54%,SULT2B1;BMP4;FGF2;FOXJ1;TP73;IL13;ATOH8
prerank,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.6045706595500471,1.708367694261764,0.0,0.6876163168627172,0.99,11/25,15.20%,MARCHF1;CTSV;HLA-DRB1;HLA-DMB;FCER1G;CTSL;IFI30;LGMN;HLA-DQA1;HLA-DQA2;HLA-DPA1
prerank,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),-0.5816573470030243,-1.7009036265719548,0.0,0.3180135523415837,1.0,10/51,5.29%,VEGFC;VEGFA;IL34;THBS1;MSTN;EDN2;EDN3;XCL1;IL12A;CSF1R
prerank,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746),-0.6664138386446996,-1.7003029086189438,0.02040816326530612,0.31181012272284836,1.0,4/19,3.43%,VEGFA;SPRY2;DCN;IL12A
prerank,Organic Cation Transport (GO:0015695),-0.6542551044753747,-1.6907296442360535,0.0,0.3325613751031305,1.0,8/31,8.42%,SLC6A12;SLC19A3;SLC44A4;PDZK1;SLC44A5;SLC47A2;SLC22A1;SLC22A4
prerank,Regulation Of Interleukin-4 Production (GO:0032673),0.5921949841562372,1.6903352986590925,0.02,0.7244815273238885,0.99,9/23,12.62%,CD86;HLA-DRB1;FOXP3;FCER1G;ZP3;LGALS9;NLRP3;IRF4;LEF1
prerank,Regulation Of Angiogenesis (GO:0045765),-0.48226420551033333,-1.6853846408348876,0.0,0.3383897703368967,1.0,27/189,8.85%,NOS3;KDR;VEGFC;FLT1;VEGFA;SPRY2;THBS1;DCN;PRL;TGFB2;GATA6;IL1B;CXCL8;CHI3L1;CD34;HOXA5;PPARG;PLXND1;TNFAIP3;ADAMTS1;GAB1;SPRED1;NINJ1;PPP1R16B;SEMA6A;ZC3H12A;BRCA1
prerank,Cardiac Conduction System Development (GO:0003161),-0.6759054159283793,-1.6837303703248643,0.0,0.33540449472935796,1.0,7/22,10.54%,SCN5A;GATA6;GJB6;MSX2;HEY2;SMAD5;HEY1
prerank,Monocyte Chemotaxis (GO:0002548),-0.6144631902682951,-1.6805638860469254,0.0,0.33843874844810484,1.0,5/36,4.01%,FLT1;CCL7;CCL22;XCL1;CCL14
prerank,Regulation Of Endothelial Cell Proliferation (GO:0001936),-0.5452307308224384,-1.6792774283500709,0.0,0.33463440213566026,1.0,9/86,4.26%,KDR;VEGFC;VEGFA;THBS1;PRL;FLT4;CDH13;PLXNB3;FUT1
prerank,Peptidyl-Tyrosine Modification (GO:0018212),-0.5623549093702322,-1.6759852395297408,0.0,0.33918455150513754,1.0,11/51,10.68%,KDR;FLT1;DDR2;FLT4;LYN;CSF1R;CLK1;BTK;SRC;TPST2;CLK4
prerank,Positive Regulation Of Transferase Activity (GO:0051347),-0.4955469373795989,-1.6749397596480629,0.0,0.33484702029284275,1.0,15/135,5.35%,KDR;FLT1;PRIM2;ROR2;INSRR;GINS3;DSCC1;DDR2;FLT4;LTK;MST1R;APOA1;MAPK15;CSF1R;ARRDC4
prerank,Immunoglobulin Mediated Immune Response (GO:0016064),0.6002576179173182,1.668770603928528,0.0,0.8010970516736271,1.0,12/28,15.20%,IL9R;CSF2RB;HLA-DRB1;HLA-DMB;FCER1A;FCER1G;CD27;ZP3;TLR8;HLA-DQA1;HLA-DQA2;HLA-DPA1
prerank,Determination Of Left/Right Symmetry (GO:0007368),-0.5911682862396983,-1.6663315281414501,0.01639344262295082,0.3595419259295163,1.0,8/41,7.60%,DNAH11;CFAP52;PIERCE1;CFAP45;DNAAF4;CCDC103;ODAD4;CFAP53
prerank,Multicellular Organismal-Level Water Homeostasis (GO:0050891),-0.7062017615151711,-1.6646842997866493,0.0,0.35648770347203307,1.0,5/17,3.77%,CFTR;PRKACG;SCNN1B;CYP4F12;SCNN1A
prerank,Mesenchyme Morphogenesis (GO:0072132),-0.7270615529884574,-1.6635707566296252,0.04,0.3524893441009341,1.0,3/16,4.03%,NOS3;TGFB2;ACVRL1
prerank,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),-0.5643978289180284,-1.663359445958117,0.0,0.34550559020813343,1.0,10/73,8.43%,KDR;VEGFC;VEGFA;FLT4;CDH13;PLXNB3;ANG;FGFBP1;PPP1R16B;NELL2
prerank,Regulation Of Focal Adhesion Assembly (GO:0051893),-0.5618045253174248,-1.6619125928523693,0.02,0.3447667204161939,1.0,5/52,4.03%,KDR;VEGFA;PEAK1;THBS1;ACVRL1
prerank,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),-0.5238959183427186,-1.6598985581586254,0.0,0.3442585004857755,1.0,14/83,8.35%,KDR;FLT1;ROR2;DCN;TGFB2;DDR2;IL18;PIK3AP1;IGF1;NEDD4;PDGFD;NCF1;FBXL2;PPP1R16B
prerank,Mucosal Immune Response (GO:0002385),0.5825830867117687,1.6570061945957633,0.0,0.8244401612225585,1.0,6/26,9.68%,H2BC12;FFAR2;PIGR;IL4;IFNL2;PLA2G1B
prerank,Positive Regulation Of Glial Cell Differentiation (GO:0045687),-0.6729185756706293,-1.656934032644223,0.0,0.3467367707508651,1.0,7/17,15.25%,IL34;CLCF1;CXCR4;ID2;DICER1;TENM4;BMP2
prerank,Long-Term Synaptic Potentiation (GO:0060291),0.683554837036549,1.6537250743732086,0.0,0.78298501349053,1.0,7/19,14.01%,NOL3;TSHZ3;GRIN2D;SLC8A2;RGS14;PLK2;FOXM1
prerank,Apoptotic Cell Clearance (GO:0043277),-0.6314187644032944,-1.6525382023914015,0.01694915254237288,0.3543612551672727,1.0,6/26,7.57%,THBS1;XKR9;TYROBP;ALOX15;FCN2;MEGF10
prerank,Positive Regulation Of MAPK Cascade (GO:0043410),-0.4457349326215067,-1.6501101045519952,0.0,0.356560649595109,1.0,40/289,7.45%,KDR;FLT1;CCL7;VEGFA;ROR2;IL34;BCAR3;IL26;GHR;SPRY2;DENND2B;THBS1;ALOX15;TGFB2;ART4;CCL22;AVPI1;DDR2;HRAS;ACKR3;IL1B;FLT4;EDN3;NDRG4;XCL1;CHI3L1;ARHGAP8;MST1R;CCL14;LRRK2;IGF1;GAREM1;ADRA2C;CSF1R;ADAM9;PELI2;ADRA2B;C5AR1;PDGFD;SEMA4C
prerank,Epiboly Involved In Wound Healing (GO:0090505),0.6183308601506866,1.6495187578985886,0.03636363636363636,0.7501268911229643,1.0,7/15,17.69%,CEACAM1;PDPN;CCNA2;PDCD10;MRTFA;DDR1;CD151
prerank,Calcium-Mediated Signaling (GO:0019722),-0.5444973934874371,-1.6460438466962894,0.017543859649122806,0.36148517604930724,1.0,22/80,12.82%,KDR;AZU1;EDN2;IRGM;CXCL8;VCAM1;LRRK2;STIMATE;MCTP2;RCAN2;SLC8A1;PPP3CA;PRNP;BTK;CXCR4;PLCE1;PLA2G4B;EDN1;CCR6;PLCG2;P2RY12;NCALD
prerank,Positive Regulation Of Phosphorylation (GO:0042327),-0.4712925489777405,-1.6447550976935148,0.0,0.35851977404343377,1.0,28/217,6.43%,KDR;VEGFC;FLT1;VEGFA;ROR2;IL34;INSRR;KNDC1;THBS1;FGF9;DDR2;HRAS;CLDN19;IL1B;FLT4;IRGM;LYN;MOB2;LTK;MST1R;LRRK2;FZD7;CSF1R;GLMN;CDKN1A;CARD14;PELI2;FGF17
prerank,DNA Integrity Checkpoint Signaling (GO:0031570),0.5414523666227351,1.6432795916631302,0.0,0.735014444598509,1.0,22/42,28.31%,CAMSAP3;CDT1;FBXO6;CHEK2;ATRIP;DTX3L;H2AX;DOT1L;INTS7;RHNO1;CDC45;CDC6;PRPF19;CLSPN;TP53BP1;E2F1;TIMELESS;DNA2;MAP3K20;MRPL36;PARP9;RPA4
prerank,Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041),-0.6432471215136605,-1.6432574924172763,0.01818181818181818,0.35764332363234114,1.0,5/29,8.85%,NOS3;THBS1;TNFAIP3;FAIM;BRCA1
prerank,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),-0.5921121409181362,-1.6411117627084295,0.0,0.35626509202747375,1.0,6/41,6.50%,KDR;VEGFA;ENC1;CDH13;FUT1;UTRN
prerank,Sodium Ion Transport (GO:0006814),-0.5248000319959808,-1.640966837723969,0.0,0.3505753583779812,1.0,20/84,10.35%,SLC5A1;SLC6A12;SLC6A1;SCNN1B;SCN5A;SCN4A;ASIC4;FGF13;SCNN1A;SLC4A4;ASIC1;ATP1A2;PKD2L1;SLC34A3;SLC8A1;SCN3B;SLC9A8;SLC34A1;SLC17A3;SLC6A11
prerank,Peripheral Nervous System Development (GO:0007422),0.6076790866188249,1.6405005766343919,0.046511627906976744,0.7020418339996973,1.0,5/18,9.19%,ADGRG6;NFASC;SERPINI1;ALDH3A2;GSTM3
prerank,Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),0.6794298454322779,1.636962418518832,0.0,0.673791862939778,1.0,8/16,14.85%,PDE6G;F2;SLC39A14;KLK5;GSK3A;GPER1;PHB1;PRMT5
prerank,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),0.59221612103764,1.636837988685473,0.0,0.635288460581515,1.0,11/28,15.20%,HLA-A;CTSV;HLA-DRB1;HLA-DMB;FCER1G;CTSL;IFI30;LGMN;HLA-DQA1;HLA-DQA2;HLA-DPA1
prerank,Positive Regulation Of Synapse Assembly (GO:0051965),0.6027432629851562,1.6367236748932268,0.0,0.5999946572158752,1.0,4/28,1.78%,SLITRK2;GPRASP3;EPHB1;EPHB3
prerank,Positive Regulation Of Neuron Apoptotic Process (GO:0043525),-0.6198047240533341,-1.6363638876387958,0.016666666666666666,0.3575891899304795,1.0,5/22,7.93%,NUPR1;TYROBP;TGFB2;PRNP;ITGAM
prerank,Positive Regulation Of Peptidase Activity (GO:0010952),0.5806020906802104,1.6278536819227476,0.023255813953488372,0.6220687916262638,1.0,9/25,16.20%,MAPK12;CTSV;CTSL;CTSH;GRN;APH1B;PSME2;VCP;PRELID1
prerank,External Encapsulating Structure Organization (GO:0045229),-0.4919214682346172,-1.625632705890674,0.0,0.38426941382121066,1.0,20/95,11.76%,ADAMTS19;COL1A1;MMP17;ADAMTS15;COLQ;COL5A1;MATN2;COL1A2;ST7;COL23A1;MANSC4;COL7A1;ADAMTS1;COL4A5;COL9A2;COL5A3;SPOCK2;SLC39A8;TGFBI;COL9A1
prerank,Muscle Cell Development (GO:0055001),-0.6303030322226711,-1.6229544937784666,0.015873015873015872,0.3865320937763356,1.0,9/30,8.64%,CXADR;VEGFA;IGF1;ACTN3;ALPK3;SLC8A1;MEGF10;HEY2;MYH11
prerank,Positive Regulation Of Phospholipase Activity (GO:0010518),-0.689581375079722,-1.621897563782617,0.0196078431372549,0.3857842559492869,1.0,2/17,2.41%,FLT1;HRAS
prerank,Positive Regulation Of Endothelial Cell Migration (GO:0010595),-0.5246519687422817,-1.619607772250168,0.0,0.3852204974817351,1.0,6/80,4.26%,NOS3;KDR;VEGFA;THBS1;FLT4;FUT1
prerank,Heart Morphogenesis (GO:0003007),-0.5602219102803586,-1.6189246024845003,0.018867924528301886,0.3807181610617599,1.0,10/54,10.54%,NOS3;VEGFA;RBM20;TGFB2;ACVRL1;HEY2;TH;TGFBR3;FGF8;HEY1
prerank,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042),-0.6784276055872315,-1.6109008056774656,0.0196078431372549,0.40565007469233777,1.0,4/21,8.85%,NOS3;TNFAIP3;FAIM;BRCA1
prerank,Blood Vessel Diameter Maintenance (GO:0097746),-0.6175981398495907,-1.6106734413434556,0.03773584905660377,0.4003631633800421,1.0,6/32,10.65%,NOS3;EDN2;EDN3;NPR1;SERPINF2;EDN1
prerank,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.5896085158787137,1.6100158488625897,0.0,0.6977141788586032,1.0,10/23,15.20%,CTSV;HLA-DRB1;HLA-DMB;FCER1G;CTSL;IFI30;LGMN;HLA-DQA1;HLA-DQA2;HLA-DPA1
prerank,Sodium Ion Transmembrane Transport (GO:0035725),-0.5276437232220995,-1.6098482364364224,0.0,0.39629054098098937,1.0,19/77,10.35%,SLC5A1;SLC6A12;SLC6A1;SLC9A3;SCNN1B;SCN5A;SCN4A;ASIC4;SCNN1A;SLC4A4;ASIC1;ATP1A2;PKD2L1;SLC8A1;SLC9C2;SCN3B;SLC9A8;ATP12A;SLC6A11
prerank,Embryonic Organ Development (GO:0048568),-0.5072955794742634,-1.609097113374883,0.01639344262295082,0.39233596560799616,1.0,14/73,11.60%,KDR;GLI3;TGFB2;NKX2-6;NDRG4;CXCL8;PBX1;COL27A1;HEY2;RARRES2;FGF8;SH2B3;HEY1;FOXE1
prerank,Regulation Of Peptidase Activity (GO:0052547),0.552763828676501,1.603931995514018,0.0,0.7079952220244827,1.0,8/26,11.72%,MAPK12;CTSV;CTSL;CTSH;CSTB;EPPIN;CTSB;PSMA3
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907),-0.4863276050567744,-1.6032026101432582,0.017241379310344827,0.40965292214471044,1.0,33/121,9.73%,OR13D1;OR2A25;OR10K2;OR2T4;OR2AG1;OR2D3;OR2T33;OR2T11;OR2F1;OR2T10;OR10R2;OR13C9;OR6Q1;OR10S1;OR10A3;PKD2L1;OR10A2;OR10H2;OR10T2;OR10G2;OR13H1;OR2A12;OR6P1;OR10J1;OR6B1;OR10P1;OR2A5;OR2I1P;OR2AG2;OR10H5;OR10G3;OR10C1;OR6K3
prerank,Positive Regulation Of MAP Kinase Activity (GO:0043406),-0.5004357861264163,-1.6010141807457876,0.0,0.410836674804332,1.0,13/86,5.37%,FLT1;VEGFA;IL34;GHR;THBS1;HRAS;IL1B;EDN3;MST1R;TRAF6;LRRK2;ADAM9;FZD10
prerank,Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911),-0.48268348825653895,-1.5957987287122501,0.01694915254237288,0.41927303948783845,1.0,32/119,9.73%,OR13D1;OR2A25;OR10K2;OR2T4;OR2AG1;OR2D3;OR2T33;OR2T11;OR2F1;OR2T10;OR10R2;OR13C9;OR6Q1;OR10S1;OR10A3;OR10A2;OR10H2;OR10T2;OR10G2;OR13H1;OR2A12;OR6P1;OR10J1;OR6B1;OR10P1;OR2A5;OR2I1P;OR2AG2;OR10H5;OR10G3;OR10C1;OR6K3
prerank,Extracellular Structure Organization (GO:0043062),-0.4890810553457666,-1.5907959887304943,0.0,0.4305779814920916,1.0,20/96,11.76%,ADAMTS19;COL1A1;MMP17;ADAMTS15;COLQ;COL5A1;MATN2;COL1A2;ST7;COL23A1;MANSC4;COL7A1;ADAMTS1;COL4A5;COL9A2;COL5A3;SPOCK2;SLC39A8;TGFBI;COL9A1
prerank,Second-Messenger-Mediated Signaling (GO:0019932),-0.5255955548315534,-1.590641664071286,0.0,0.4251763359322135,1.0,19/69,12.82%,NOS3;EDN2;EDN3;CXCL8;FPR1;LRRK2;KLRG1;MCTP2;RCAN2;BTK;CXCR4;PLCE1;PLA2G4B;EDN1;GPR62;CCR6;PLCG2;P2RY12;NCALD
prerank,Eye Morphogenesis (GO:0048592),-0.7203180064553271,-1.5905709352074464,0.020833333333333332,0.4197815955425495,1.0,3/15,3.62%,VEGFA;COL5A1;MFAP5
prerank,Regulation Of Blood Circulation (GO:1903522),0.5510982921122034,1.5891681391369679,0.0,0.7737322828016588,1.0,8/28,12.98%,TNNT2;CYP2J2;KCNE5;CAMK2D;CELF2;KCNMB4;SRI;BDKRB2
prerank,Carboxylic Acid Transport (GO:0046942),-0.5572657376821492,-1.5885725847534187,0.015873015873015872,0.4200775264460596,1.0,10/50,2.81%,SLC6A12;SLC16A12;SLC16A7;SLC3A1;SLC16A14;SLC7A3;SLC16A2;SLC16A8;SLC43A2;SLC7A8
prerank,Positive Regulation Of BMP Signaling Pathway (GO:0030513),0.5921997955755112,1.587973071998475,0.022222222222222223,0.7501268911229642,1.0,5/21,8.21%,BMP4;SCUBE3;FOXD1;CCNA2;NOTCH1
prerank,Positive Regulation Of Cell Motility (GO:2000147),-0.428676222376754,-1.5862815395142742,0.0,0.4222358441696327,1.0,34/208,10.65%,KDR;FLT1;CCL7;VEGFA;ROR2;CLEC7A;SEMA3C;SEMA3F;SPRY2;COL1A1;THBS1;CEMIP;DUOX2;VIL1;HRAS;IL1B;FLT4;CDH13;PODXL;IGF1;CSF1R;ADAM9;WNT5B;PDGFD;SEMA4C;PPP3CA;CXCL16;CXCR4;PIK3R3;CASS4;RET;SPOCK2;TCAF2;EDN1
prerank,Inositol Phosphate-Mediated Signaling (GO:0048016),-0.6659331919828336,-1.5768594712812658,0.046875,0.4501841929429372,1.0,6/19,10.81%,EDN2;EDN3;PPP3CA;PLCE1;EDN1;GPR62
prerank,Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),-0.6164105829136367,-1.5764325363482266,0.018867924528301886,0.4461781935841426,1.0,9/28,11.44%,CRHR1;CACNB4;CABP4;PPP3CA;STAC2;CACNB1;CACNA1A;GPR35;PDE4B
prerank,Endothelial Cell Migration (GO:0043542),-0.5676556152504169,-1.576250097291033,0.0196078431372549,0.4416295064997114,1.0,4/37,5.50%,NOS3;VEGFA;CDH13;PLXND1
prerank,Eosinophil Migration (GO:0072677),-0.6280938055081392,-1.5750041629362852,0.08333333333333333,0.4338684170788516,1.0,4/21,4.01%,CCL7;CCL22;XCL1;CCL14
prerank,Eosinophil Chemotaxis (GO:0048245),-0.6280938055081392,-1.5750041629362852,0.08333333333333333,0.4338684170788516,1.0,4/21,4.01%,CCL7;CCL22;XCL1;CCL14
prerank,Renal Absorption (GO:0070293),-0.6943459696712988,-1.5724674504408265,0.034482758620689655,0.4359523975702943,1.0,2/16,1.09%,SLC5A1;CLCNKA
prerank,Lymphocyte Migration (GO:0072676),-0.563302574359015,-1.5724458970293576,0.015873015873015872,0.4307624880754099,1.0,8/37,11.61%,CCL7;CCL22;XCL1;CCL14;RET;TBX21;CCR6;CCL2
